Tienpit;Tie;Aosa;Aet;Ajr;Vuosi;Kk;Vakavuusko;ELY;Vkpv;Ontyyppi;Onluokka;Osallkm;Nopraj;Taajmerk;Pinta;Valoisuus;Saa;Onnpaikka;Maakunta;Kunta;Noplaji;Nopsuunvas;Nopsuunoik;Toimluokka;Kvl;Raskaskvl;Tienlev;X;Y;Tietyo;Paallyste;Lampotila;Risteys;Poikkileik;Paallyslev;Paallystlk;Nakos150;Nakos300;Nakos460;Runkotie
-1;;;;;2021;9;0;1;Lauantai;40;4;2;80;-1;1;1;2;1;1;91;-1;-1;-1;-1;;;;;;E;1;;2;-1;;-1;;;;
1;1;3;9;2;2021;9;0;1;Sunnuntai;52;4;2;40;1;1;1;1;1;1;91;1;60;50;1;26719;815;201;382585;6675850;E;1;11;4;2;114;10;97;76;57;1
1;1;3;220;1;2021;8;0;1;Torstai;80;1;1;80;0;2;1;2;1;1;91;1;60;80;1;26719;815;234;382357;6675921;E;1;13;0;2;104;10;97;76;57;1
1;1;3;225;1;2021;8;0;1;Sunnuntai;89;1;1;80;0;1;1;2;1;1;91;1;60;80;1;26719;815;234;382352;6675921;E;1;21;0;2;104;10;97;76;57;1
1;1;3;368;2;2021;8;1;1;Perjantai;83;1;1;60;0;1;4;1;1;1;91;1;60;80;1;26719;815;267;382244;6675918;E;1;10;0;2;115;10;97;76;57;1
1;1;4;614;1;2021;8;0;1;Tiistai;3;3;2;100;0;1;1;2;1;1;49;1;100;100;1;66301;2469;221;378372;6676650;E;1;13;0;2;104;10;100;97;70;1
1;1;4;942;1;2021;12;0;1;Lauantai;4;3;3;100;0;5;4;6;1;1;49;1;100;100;1;66301;2469;234;378046;6676634;E;1;0;0;2;104;10;100;97;70;1
1;1;4;990;2;2021;10;0;1;Perjantai;2;13;2;100;0;2;2;4;1;1;49;1;100;100;1;66301;2469;267;378003;6676615;E;1;9;0;2;114;10;100;97;70;1
1;1;4;1023;2;2021;11;2;1;Sunnuntai;6;6;6;100;0;1;4;1;1;1;49;1;100;100;1;66301;2469;267;377970;6676613;E;1;4;0;2;114;10;100;97;70;1
1;1;4;2275;1;2021;12;0;1;Tiistai;8;6;3;100;0;7;1;2;1;1;49;1;100;100;1;66301;2469;234;376740;6676440;E;1;-11;0;2;104;10;100;97;70;1
1;1;4;3081;1;2021;9;0;1;Torstai;6;6;2;100;0;1;1;1;1;1;49;1;100;100;1;66301;2469;221;375941;6676476;E;1;18;0;2;104;10;100;97;70;1
1;1;4;3178;1;2021;11;0;1;Sunnuntai;20;5;2;100;0;1;1;1;1;1;49;1;100;100;1;66301;2469;221;375845;6676476;E;1;0;0;2;104;10;100;97;70;1
1;1;4;3340;1;2021;10;0;1;Torstai;81;1;1;100;0;1;1;2;1;1;49;1;100;100;1;66301;2469;221;375684;6676471;E;1;10;0;2;104;10;100;97;70;1
1;1;5;28;1;2021;9;0;1;Torstai;8;6;5;100;0;1;2;2;1;1;49;1;100;100;1;52404;2401;221;375608;6676463;E;1;9;0;2;104;10;100;86;59;1
1;1;5;42;2;2021;5;0;1;Lauantai;80;1;1;80;0;1;2;2;1;1;49;1;100;100;1;52404;2401;221;375610;6676448;E;1;8;0;2;104;10;100;86;59;1
1;1;5;1037;1;2021;1;0;1;Lauantai;7;6;2;80;0;6;1;5;1;1;49;1;100;100;1;52404;2401;221;374655;6676148;E;1;-7;0;2;104;10;100;86;59;1
1;1;5;1257;2;2021;2;0;1;Sunnuntai;91;13;2;100;0;6;4;2;1;1;49;1;100;100;1;52404;2401;221;374460;6676053;E;1;-8;0;2;104;10;100;86;59;1
1;1;5;1436;2;2021;3;0;1;Lauantai;4;3;2;100;0;2;1;2;1;1;49;1;100;100;1;52404;2401;221;374289;6675996;E;1;1;0;2;104;10;100;86;59;1
1;1;5;1972;2;2021;12;0;1;Lauantai;89;1;1;80;0;5;4;6;1;1;49;1;100;100;1;52404;2401;221;373760;6675902;E;1;0;0;2;104;10;100;86;59;1
1;1;5;2395;2;2021;1;2;1;Lauantai;7;6;2;100;0;4;4;5;1;1;49;1;100;100;1;52404;2401;221;373335;6675909;E;1;0;0;2;104;10;100;86;59;1
1;1;5;2602;2;2021;4;0;1;Lauantai;81;1;1;100;0;-1;4;4;1;1;49;1;100;100;1;52404;2401;221;373130;6675945;E;1;1;0;2;104;10;100;86;59;1
1;1;5;3114;1;2021;6;2;1;Tiistai;86;1;1;100;0;1;1;1;1;1;49;1;100;100;1;52404;2401;221;372666;6676172;E;1;30;5;2;104;10;100;86;59;1
1;1;5;3272;2;2021;9;2;1;Tiistai;4;3;4;100;0;1;1;1;1;1;49;1;100;100;1;39438;2224;221;372542;6676256;E;1;12;0;2;104;10;100;86;59;1
1;1;5;3387;2;2021;5;0;1;Sunnuntai;83;1;1;80;0;1;1;1;1;1;49;1;100;100;1;39438;2224;221;372462;6676340;K;1;8;0;2;104;10;100;86;59;1
1;1;5;4720;2;2021;1;2;1;Perjantai;8;6;3;100;0;4;4;5;1;1;235;1;100;100;1;39438;2224;221;371390;6677122;E;1;-4;0;2;104;10;100;86;59;1
1;1;5;5018;2;2021;3;0;1;Tiistai;8;6;2;80;0;4;1;5;1;1;49;1;100;100;1;39438;2224;221;371131;6677273;E;1;-8;0;2;104;10;100;86;59;1
1;1;5;5108;2;2021;3;2;1;Tiistai;6;6;75;80;0;4;1;5;1;1;49;1;100;100;1;39438;2224;221;371055;6677321;E;1;-3;0;2;104;10;100;86;59;1
1;1;5;5190;1;2021;3;2;1;Tiistai;8;6;47;80;0;4;1;5;1;1;49;1;100;100;1;39438;2224;221;370996;6677377;E;1;-3;0;2;104;10;100;86;59;1
1;1;6;940;2;2021;7;2;1;Tiistai;99;13;1;100;0;1;1;1;1;1;49;1;120;120;1;39483;3789;221;368741;6678487;E;1;21;0;2;104;10;100;81;44;1
1;1;6;1319;1;2021;9;2;1;Torstai;8;6;2;80;0;1;1;1;1;1;49;1;120;120;1;39483;3789;221;368411;6678653;E;1;13;0;2;104;10;100;81;44;1
1;1;6;4569;1;2021;12;2;1;Keskiviikko;6;6;2;100;0;1;4;1;1;1;49;1;120;120;1;39483;3789;221;365931;6680505;E;1;-12;0;2;104;10;100;81;44;1
1;1;6;5401;2;2021;10;0;1;Perjantai;99;13;2;120;0;2;1;4;1;1;49;1;120;120;1;39483;3789;221;365318;6681078;E;1;10;0;2;104;10;100;81;44;1
1;1;7;745;2;2021;7;0;1;Lauantai;90;10;2;120;0;1;4;1;1;1;49;1;120;120;1;37018;2749;221;364616;6681334;E;1;14;0;2;104;10;100;87;60;1
1;1;7;831;2;2021;11;0;1;Tiistai;6;6;4;100;0;2;4;4;1;1;49;1;120;120;1;37018;2749;221;364536;6681363;E;1;9;0;2;104;10;100;87;60;1
1;1;7;1820;2;2021;11;0;1;Keskiviikko;81;1;1;100;0;2;4;2;1;1;49;1;120;120;1;37018;2749;221;363660;6681807;E;1;5;0;2;104;10;100;87;60;1
